Cluster,Cluster Name,Video Title,Views,Likes,Comments,Video ID
0,Solid Performers,How to Optimize Your System in Two Weeks,221958,16401,82,vid_0_000
0,Solid Performers,How to Master Your Process in One Month,219879,14942,79,vid_0_001
0,Solid Performers,The Ultimate Guide to Networking,268266,17109,116,vid_0_002
0,Solid Performers,How to Optimize Your Workflow in 5 Minutes,291335,20755,89,vid_0_003
0,Solid Performers,5 Ways to Improve Your Learning,100769,7221,68,vid_0_004
0,Solid Performers,Top 10 Game-Changing Strategies for Performance,299041,16583,111,vid_0_005
0,Solid Performers,The Ultimate Guide to Public Speaking,284779,19464,86,vid_0_006
0,Solid Performers,The Ultimate Guide to Time Management,230608,15160,106,vid_0_007
0,Solid Performers,The Ultimate Guide to Networking,249503,14661,111,vid_0_008
0,Solid Performers,How to Improve Your Setup in One Month,165725,8736,90,vid_0_009
0,Solid Performers,How to Improve Your Routine in 24 Hours,167435,10954,89,vid_0_010
0,Solid Performers,Why Your Workflow Isn't Fixing Properly,111394,8443,63,vid_0_011
0,Solid Performers,How to Optimize Your Routine in 24 Hours,187313,14697,128,vid_0_012
0,Solid Performers,How to Master Your Process in 7 Days,274073,16208,92,vid_0_013
0,Solid Performers,12 Ways to Improve Your Focus,224243,12833,128,vid_0_014
0,Solid Performers,How to Optimize Your System in Two Weeks,148555,9634,46,vid_0_015
0,Solid Performers,The Ultimate Guide to Reading,180077,11116,67,vid_0_016
0,Solid Performers,15 Ways to Improve Your Creativity,119457,7496,45,vid_0_017
0,Solid Performers,How to Upgrade Your Routine in Two Weeks,152995,8498,105,vid_0_018
0,Solid Performers,10 Ways to Improve Your Memory,296769,18356,199,vid_0_019
1,Niche Engagers,Advanced Note-Taking Techniques Only Experts Know,16534,525,23,vid_1_000
1,Niche Engagers,How I Doubled My Output in Just 5 Minutes (Detailed Breakdown),6016,296,16,vid_1_001
1,Niche Engagers,Advanced Note-Taking Techniques Only Experts Know,29300,1038,77,vid_1_002
1,Niche Engagers,Responding to Your Questions About Spaced Repetition,17185,847,38,vid_1_003
1,Niche Engagers,How I Mastered a New Skill in Just Two Weeks (Detailed Breakdown),12208,438,16,vid_1_004
1,Niche Engagers,Deep Dive: Understanding Knowledge Management From First Principles,21216,1055,53,vid_1_005
1,Niche Engagers,Deep Dive: Understanding Flow State Triggers From First Principles,7027,252,7,vid_1_006
1,Niche Engagers,Deep Dive: Understanding Knowledge Management From First Principles,27002,1191,66,vid_1_007
1,Niche Engagers,Responding to Your Questions About Spaced Repetition,17666,556,30,vid_1_008
1,Niche Engagers,Deep Dive: Understanding Knowledge Management From First Principles,11184,540,30,vid_1_009
1,Niche Engagers,How I Mastered a New Skill in Just 24 Hours (Detailed Breakdown),18067,661,20,vid_1_010
1,Niche Engagers,Deep Dive: Understanding Flow State Triggers From First Principles,7454,323,17,vid_1_011
1,Niche Engagers,Advanced Networking Techniques Only Experts Know,24115,1030,66,vid_1_012
1,Niche Engagers,Deep Dive: Understanding Cognitive Biases From First Principles,10056,378,29,vid_1_013
1,Niche Engagers,The Truth About Speed Reading Nobody Talks About,25224,1120,37,vid_1_014
1,Niche Engagers,How I Doubled My Output in Just 7 Days (Detailed Breakdown),17685,705,36,vid_1_015
1,Niche Engagers,Deep Dive: Understanding Cognitive Biases From First Principles,26518,854,49,vid_1_016
1,Niche Engagers,The Truth About Speed Reading Nobody Talks About,29242,895,66,vid_1_017
